Sales_Order #,1,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Model,Order_Quantity,Colour,Size,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue,Sales Summary,
261706,1,12-05-2021,5,December,2021,37,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261706: 1 Mountain Bikes - 05/12/2021,
261707,1,12-06-2021,6,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",Mountain-400,,Silver,46,3,$420.00,$769.00,"$1,047.00","$1,260.00","$2,307.00",261707: 3 Mountain Bikes - 06/12/2021,
261708,1,12-06-2021,6,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261708: 1 Mountain Bikes - 06/12/2021,
261709,1,12-06-2021,6,December,2021,36,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261709: 1 Mountain Bikes - 06/12/2021,
261710,1,12-06-2021,6,December,2021,47,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261710: 1 Mountain Bikes - 06/12/2021,
261711,1,12-07-2021,7,December,2021,30,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",Mountain-400,,Silver,38,4,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00",261711: 4 Mountain Bikes - 07/12/2021,
261712,1,12-07-2021,7,December,2021,38,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,2,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00",261712: 2 Mountain Bikes - 07/12/2021,
261713,1,12-08-2021,8,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",Mountain-500,,Silver,42,4,$308.00,$565.00,"$1,028.00","$1,232.00","$2,260.00",261713: 4 Mountain Bikes - 08/12/2021,
261714,1,12-08-2021,8,December,2021,30,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00",261714: 4 Mountain Bikes - 08/12/2021,
261715,1,12-08-2021,8,December,2021,39,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261715: 2 Mountain Bikes - 08/12/2021,
261716,1,12-08-2021,8,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",Mountain-500,,Black,42,1,$295.00,$540.00,$245.00,$295.00,$540.00,261716: 1 Mountain Bikes - 08/12/2021,
261717,1,12-09-2021,9,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",Mountain-100,,Black,38,2,"$1,898.00","$3,375.00","$2,954.00","$3,796.00","$6,750.00",261717: 2 Mountain Bikes - 09/12/2021,
261718,1,12-09-2021,9,December,2021,41,Adults (35-64),F,Germany,Hamburg,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261718: 1 Mountain Bikes - 09/12/2021,
261719,1,12-10-2021,10,December,2021,34,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261719: 2 Mountain Bikes - 10/12/2021,
261720,1,12-10-2021,10,December,2021,40,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261720: 2 Mountain Bikes - 10/12/2021,
261721,1,12-10-2021,10,December,2021,26,Young Adults (25-34),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261721: 1 Mountain Bikes - 10/12/2021,
261722,1,12-10-2021,10,December,2021,34,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 40",Mountain-500,,Black,40,1,$295.00,$540.00,$245.00,$295.00,$540.00,261722: 1 Mountain Bikes - 10/12/2021,
261723,1,12-10-2021,10,December,2021,34,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-100 Silver, 44",Mountain-100,,Silver,44,1,"$1,912.00","$3,400.00","$1,488.00","$1,912.00","$3,400.00",261723: 1 Mountain Bikes - 10/12/2021,
261724,1,12-10-2021,10,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261724: 1 Mountain Bikes - 10/12/2021,
261725,1,12-11-2021,11,December,2021,24,Youth (<25),F,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,3,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00",261725: 3 Mountain Bikes - 11/12/2021,
261726,1,12-11-2021,11,December,2021,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",Mountain-400,,Silver,38,2,$420.00,$769.00,$698.00,$840.00,"$1,538.00",261726: 2 Mountain Bikes - 11/12/2021,
261727,1,12-11-2021,11,December,2021,27,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261727: 1 Mountain Bikes - 11/12/2021,
261728,1,12-11-2021,11,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",Mountain-400,,Silver,46,1,$420.00,$769.00,$349.00,$420.00,$769.00,261728: 1 Mountain Bikes - 11/12/2021,
261729,1,12-11-2021,11,December,2021,38,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261729: 1 Mountain Bikes - 11/12/2021,
261730,1,12-12-2021,12,December,2021,36,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00",261730: 4 Mountain Bikes - 12/12/2021,
261731,1,12-12-2021,12,December,2021,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",Mountain-400,,Silver,46,4,$420.00,$769.00,"$1,396.00","$1,680.00","$3,076.00",261731: 4 Mountain Bikes - 12/12/2021,
261732,1,12-12-2021,12,December,2021,34,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261732: 2 Mountain Bikes - 12/12/2021,
261733,1,12-12-2021,12,December,2021,35,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261733: 1 Mountain Bikes - 12/12/2021,
261734,1,12-12-2021,12,December,2021,38,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261734: 1 Mountain Bikes - 12/12/2021,
261735,1,12/13/2021,13,December,2021,32,Young Adults (25-34),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00",261735: 3 Mountain Bikes - 12/13/2021,
261736,1,12/13/2021,13,December,2021,40,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Silver, 40",Mountain-500,,Silver,40,1,$308.00,$565.00,$257.00,$308.00,$565.00,261736: 1 Mountain Bikes - 12/13/2021,
261737,1,12/13/2021,13,December,2021,44,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261737: 1 Mountain Bikes - 12/13/2021,
261738,1,12/13/2021,13,December,2021,49,Adults (35-64),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261738: 1 Mountain Bikes - 12/13/2021,
261739,1,12/14/2021,14,December,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,2,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00",261739: 2 Mountain Bikes - 12/14/2021,
261740,1,12/14/2021,14,December,2021,32,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261740: 1 Mountain Bikes - 12/14/2021,
261741,1,12/14/2021,14,December,2021,32,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",Mountain-400,,Silver,46,1,$420.00,$769.00,$349.00,$420.00,$769.00,261741: 1 Mountain Bikes - 12/14/2021,
261742,1,12/15/2021,15,December,2021,29,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261742: 1 Mountain Bikes - 12/15/2021,
261743,1,12/16/2021,16,December,2021,33,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261743: 2 Mountain Bikes - 12/16/2021,
261744,1,12/16/2021,16,December,2021,38,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261744: 2 Mountain Bikes - 12/16/2021,
261745,1,12/16/2021,16,December,2021,27,Young Adults (25-34),F,France,Seine et Marne,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",Mountain-200,,Silver,46,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261745: 1 Mountain Bikes - 12/16/2021,
261746,1,12/17/2021,17,December,2021,37,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,2,"$1,266.00","$2,320.00","$2,108.00","$2,532.00","$4,640.00",261746: 2 Mountain Bikes - 12/17/2021,
261747,1,12/17/2021,17,December,2021,31,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",Mountain-400,,Silver,42,1,$420.00,$769.00,$349.00,$420.00,$769.00,261747: 1 Mountain Bikes - 12/17/2021,
261748,1,12/17/2021,17,December,2021,42,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",Mountain-200,,Silver,46,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261748: 1 Mountain Bikes - 12/17/2021,
261749,1,12/18/2021,18,December,2021,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",Mountain-500,,Silver,42,4,$308.00,$565.00,"$1,028.00","$1,232.00","$2,260.00",261749: 4 Mountain Bikes - 12/18/2021,
261750,1,12/18/2021,18,December,2021,38,Adults (35-64),F,Germany,Nordrhein-Westfalen,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",Mountain-200,,Silver,46,4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00",261750: 4 Mountain Bikes - 12/18/2021,
261751,1,12/18/2021,18,December,2021,24,Youth (<25),F,France,Seine Saint Denis,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00",261751: 3 Mountain Bikes - 12/18/2021,
261752,1,12/18/2021,18,December,2021,26,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",Mountain-400,,Silver,42,3,$420.00,$769.00,"$1,047.00","$1,260.00","$2,307.00",261752: 3 Mountain Bikes - 12/18/2021,
261753,1,12/18/2021,18,December,2021,39,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,3,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00",261753: 3 Mountain Bikes - 12/18/2021,
261754,1,12/18/2021,18,December,2021,26,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261754: 1 Mountain Bikes - 12/18/2021,
261755,1,12/18/2021,18,December,2021,36,Adults (35-64),M,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261755: 1 Mountain Bikes - 12/18/2021,
261756,1,12/19/2021,19,December,2021,17,Youth (<25),M,France,Nord,Bikes,Mountain Bikes,"Mountain-200 Silver, 46",Mountain-200,,Silver,46,4,"$1,266.00","$2,320.00","$4,216.00","$5,064.00","$9,280.00",261756: 4 Mountain Bikes - 12/19/2021,
261757,1,12/19/2021,19,December,2021,19,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 44",Mountain-500,,Black,44,4,$295.00,$540.00,$980.00,"$1,180.00","$2,160.00",261757: 4 Mountain Bikes - 12/19/2021,
261758,1,12/19/2021,19,December,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261758: 4 Mountain Bikes - 12/19/2021,
261759,1,12/19/2021,19,December,2021,35,Adults (35-64),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-100 Black, 48",Mountain-100,,Black,48,4,"$1,898.00","$3,375.00","$5,908.00","$7,592.00","$13,500.00",261759: 4 Mountain Bikes - 12/19/2021,
261760,1,12/19/2021,19,December,2021,37,Adults (35-64),M,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261760: 4 Mountain Bikes - 12/19/2021,
261761,1,12/19/2021,19,December,2021,39,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261761: 4 Mountain Bikes - 12/19/2021,
261762,1,12/19/2021,19,December,2021,63,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261762: 4 Mountain Bikes - 12/19/2021,
261763,1,12/19/2021,19,December,2021,18,Youth (<25),M,Australia,South Australia,Bikes,Mountain Bikes,"Mountain-500 Black, 40",Mountain-500,,Black,40,2,$295.00,$540.00,$490.00,$590.00,"$1,080.00",261763: 2 Mountain Bikes - 12/19/2021,
261764,1,12/19/2021,19,December,2021,56,Adults (35-64),F,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,2,"$1,252.00","$2,295.00","$2,086.00","$2,504.00","$4,590.00",261764: 2 Mountain Bikes - 12/19/2021,
261765,1,12/19/2021,19,December,2021,39,Adults (35-64),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261765: 1 Mountain Bikes - 12/19/2021,
261766,1,12/20/2021,20,December,2021,33,Young Adults (25-34),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-100 Black, 38",Mountain-100,,Black,38,4,"$1,898.00","$3,375.00","$5,908.00","$7,592.00","$13,500.00",261766: 4 Mountain Bikes - 12/20/2021,
261767,1,12/20/2021,20,December,2021,57,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261767: 4 Mountain Bikes - 12/20/2021,
261768,1,12/20/2021,20,December,2021,29,Young Adults (25-34),M,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-500 Black, 52",Mountain-500,,Black,52,3,$295.00,$540.00,$735.00,$885.00,"$1,620.00",261768: 3 Mountain Bikes - 12/20/2021,
261769,1,12/20/2021,20,December,2021,35,Adults (35-64),F,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261769: 1 Mountain Bikes - 12/20/2021,
261770,1,12/20/2021,20,December,2021,35,Adults (35-64),M,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261770: 1 Mountain Bikes - 12/20/2021,
261771,1,12/21/2021,21,December,2021,26,Young Adults (25-34),M,France,Somme,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00",261771: 3 Mountain Bikes - 12/21/2021,
261772,1,12/21/2021,21,December,2021,23,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",Mountain-400,,Silver,46,2,$420.00,$769.00,$698.00,$840.00,"$1,538.00",261772: 2 Mountain Bikes - 12/21/2021,
261773,1,12/22/2021,22,December,2021,30,Young Adults (25-34),F,United States,Washington,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,3,"$1,266.00","$2,320.00","$3,162.00","$3,798.00","$6,960.00",261773: 3 Mountain Bikes - 12/22/2021,
261774,1,12/22/2021,22,December,2021,41,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,3,"$1,252.00","$2,295.00","$3,129.00","$3,756.00","$6,885.00",261774: 3 Mountain Bikes - 12/22/2021,
261775,1,12/22/2021,22,December,2021,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",Mountain-500,,Silver,42,1,$308.00,$565.00,$257.00,$308.00,$565.00,261775: 1 Mountain Bikes - 12/22/2021,
261776,1,12/22/2021,22,December,2021,25,Young Adults (25-34),M,France,Seine (Paris),Bikes,Mountain Bikes,"Mountain-200 Black, 38",Mountain-200,,Black,38,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261776: 1 Mountain Bikes - 12/22/2021,
261777,1,12/22/2021,22,December,2021,27,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 46",Mountain-200,,Black,46,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261777: 1 Mountain Bikes - 12/22/2021,
261778,1,12/22/2021,22,December,2021,41,Adults (35-64),M,Germany,Hessen,Bikes,Mountain Bikes,"Mountain-200 Silver, 38",Mountain-200,,Silver,38,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261778: 1 Mountain Bikes - 12/22/2021,
261779,1,12/23/2021,23,December,2021,30,Young Adults (25-34),F,United States,Oregon,Bikes,Mountain Bikes,"Mountain-200 Silver, 42",Mountain-200,,Silver,42,1,"$1,266.00","$2,320.00","$1,054.00","$1,266.00","$2,320.00",261779: 1 Mountain Bikes - 12/23/2021,
261780,1,12/23/2021,23,December,2021,31,Young Adults (25-34),F,Canada,British Columbia,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,1,"$1,252.00","$2,295.00","$1,043.00","$1,252.00","$2,295.00",261780: 1 Mountain Bikes - 12/23/2021,
261781,1,12/23/2021,23,December,2021,35,Adults (35-64),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 42",Mountain-500,,Black,42,1,$295.00,$540.00,$245.00,$295.00,$540.00,261781: 1 Mountain Bikes - 12/23/2021,
261782,1,12/24/2021,24,December,2021,38,Adults (35-64),M,Australia,Queensland,Bikes,Mountain Bikes,"Mountain-200 Black, 42",Mountain-200,,Black,42,4,"$1,252.00","$2,295.00","$4,172.00","$5,008.00","$9,180.00",261782: 4 Mountain Bikes - 12/24/2021,
